List,Name,Artifact,Track,Description
To Do,Sign up registration screens & validation,Auth,Frontend,"Forms for email/phone + password; show API errors; link to verify OTP."
To Do,Verify OTP screen & post-verify redirect,Auth,Frontend,"Enter code; resend cooldown; success → profile setup or home."
To Do,Profile setup screen (name photo bio),Auth,Frontend,"First-time profile after verification; image picker + save."
To Do,Login screen & session handling,Auth,Frontend,"Store JWT (cookie or memory per your choice); redirect if already logged in."
To Do,Forgot password + reset password screens,Auth,Frontend,"Request reset → enter OTP/new password; match backend fields."
To Do,Protected routes & auth guard wrapper,Auth,Frontend,"Hide app shell until token valid; redirect guests to login."
To Do,Register send OTP + complete registration APIs,Auth,Backend,"Create user; hash password; send OTP; validate duplicates safely."
To Do,Verify OTP + mark user verified,Auth,Backend,"Verify code with expiry; rate-limit resend."
To Do,Login issue JWT + logout,Auth,Backend,"Validate credentials; return JWT; optional refresh story; logout blacklist if needed."
To Do,Forgot/reset password + OTP for reset,Auth,Backend,"Issue reset token/OTP; single-use; update password hash."
To Do,Auth middleware on REST + socket handshake,Auth,Backend,"Bearer JWT on protected routes; Socket.IO auth on connect."
To Do,Own profile view & edit UI,User Management,Frontend,"View name bio photo; edit form; loading states."
To Do,Other user profile view,User Management,Frontend,"Route by user id; show public fields; handle not found."
To Do,User posts & gallery on profile,User Management,Frontend,"List posts; media grid; pagination or load more."
To Do,Dashboard home feed UI,User Management,Frontend,"Posts from follows/circles/global per product rules; empty state."
To Do,Dashboard circles suggestions events widgets,User Management,Frontend,"Cards for my circles + discover + upcoming events."
To Do,Profile + gallery + posts APIs,User Management,Backend,"GET/PATCH profile; GET user posts; GET gallery URLs; pagination."
To Do,Dashboard feed API,User Management,Backend,"Aggregate posts for home; cursor/page; filter blocked users."
To Do,Circles browse search list UI,Circle Management,Frontend,"Discover circles; search; join CTA."
To Do,Circle detail page posts feed,Circle Management,Frontend,"Circle header; post list; create post composer; like/comment entry."
To Do,Create circle + visibility,Circle Management,Frontend,"Form for name description public/private; success navigation."
To Do,Join leave request private circle,Circle Management,Frontend,"Public one-click join; private request flow; leave confirm."
To Do,Circle events list create reserve UI,Circle Management,Frontend,"Events tab; RSVP/reserve; dates mobile friendly."
To Do,Circle admin manage page tabs,Circle Management,Frontend,"Requests members pending posts flagged reports restricted banned; responsive."
To Do,Moderation page for circle,Circle Management,Frontend,"Queue + actions approve/reject; link to post view."
To Do,Report post modal from circle feed,Circle Management,Frontend,"Reason text; submit; already-reported state."
To Do,Circles CRUD + membership APIs,Circle Management,Backend,"Create/update circle; join leave; list members; visibility rules."
To Do,Circle posts comments likes APIs,Circle Management,Backend,"Posts scoped to circle; nested comments; like toggle."
To Do,Join requests + notifications to admins,Circle Management,Backend,"Request model; approve deny; notify admins."
To Do,Events CRUD + RSVP,Circle Management,Backend,"Events linked to circle; capacity; user reservations."
To Do,Moderation flags reports admin actions,Circle Management,Backend,"Reports queue; resolve; delete post; restrict/ban user."
To Do,Chat inbox room list UI,Chat & Communication,Frontend,"List DMs + group/circle chats; unread badge."
To Do,Chat thread messages composer,Chat & Communication,Frontend,"Scroll history; send text/media; reply delete UX if in scope."
To Do,Socket client connect after login,Chat & Communication,Frontend,"Pass token; reconnect; join rooms; handle disconnect."
To Do,Notifications page + bell dropdown,Chat & Communication,Frontend,"List notifications; mark read; deep links to post/chat/circle."
To Do,Chat REST APIs rooms messages,Chat & Communication,Backend,"Create/list rooms; send message; history pagination; media URLs."
To Do,Socket.IO realtime delivery + rooms,Chat & Communication,Backend,"Join room by id; emit message/read; auth each socket."
To Do,Notifications create + list API,Chat & Communication,Backend,"Persist notifications; unread count; mark read endpoint."
To Do,Emit notifications on events,Chat & Communication,Backend,"New message mention join request comment like — wire emits from routes."
To Do,Admin login + route guard,Management,Frontend,"Separate admin entry or role check; hide from normal users."
To Do,Admin dashboard users list search,Management,Frontend,"Table filters; user detail actions; bulk select if needed."
To Do,Admin posts comments circles flagged reports,Management,Frontend,"Moderation views; approve remove; navigate to entity."
To Do,Admin analytics or stats cards,Management,Frontend,"Charts KPIs if product includes — or stub placeholders."
To Do,Admin APIs + role checks,Management,Backend,"All admin routes check admin role; no IDOR on user/content IDs."
To Do,Admin stats aggregates,Management,Backend,"Counts users posts reports — optimize queries."
To Do,End-to-end smoke one path per artifact,Full stack,Full-stack,"Manual: register → profile → circle → post → chat ping → admin sees user — note gaps."
To Do,Deploy frontend + backend + env parity,Full stack,Full-stack,"Production URLs in CORS and frontend env; HTTPS; smoke test live."
